,Price,Ticker,value
132,Adj Close,AAPL,93.03459930419922
133,Adj Close,AAPL,94.57417297363281
134,Adj Close,AAPL,95.22460174560547
135,Adj Close,AAPL,94.05287170410156
136,Adj Close,AAPL,93.86286926269531
137,Adj Close,AAPL,95.8409194946289
138,Adj Close,AAPL,94.51815795898438
139,Adj Close,AAPL,94.7836685180664
140,Adj Close,AAPL,90.46947479248047
141,Adj Close,AAPL,90.24535369873047
142,Adj Close,AAPL,92.38419342041016
143,Adj Close,AAPL,90.86653900146484
144,Adj Close,AAPL,92.60829162597656
145,Adj Close,AAPL,93.72886657714844
146,Adj Close,AAPL,103.54124450683594
147,Adj Close,AAPL,106.15021514892578
148,Adj Close,AAPL,106.8591079711914
149,Adj Close,AAPL,107.2464370727539
150,Adj Close,AAPL,110.98817443847656
151,Adj Close,AAPL,108.46479034423828
