Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Greenland,GRL,interest rate,FR.INR.RINR,,,,,,,,,,
Guatemala,GTM,interest rate,FR.INR.RINR,10.75585684,10.12048981,11.11199029,11.50547346,8.859117246,9.383988372,8.782023702,5.218738994,5.088815822,8.427922352
Guam,GUM,interest rate,FR.INR.RINR,,,,,,,,,,
Guyana,GUY,interest rate,FR.INR.RINR,9.542339621,11.99409599,10.66604441,16.35987741,7.301759348,48.52033122,-11.06269565,-3.251622038,26.14421668,6.922097186
High income,HIC,interest rate,FR.INR.RINR,,,,,,,,,,
"Hong Kong SAR, China",HKG,interest rate,FR.INR.RINR,1.308745483,3.307539762,2.060078023,1.333343081,2.997887374,4.334002177,4.287090267,3.358799562,2.796970878,1.844751952
Honduras,HND,interest rate,FR.INR.RINR,12.83497683,15.09853656,14.10912758,15.55407811,13.52611851,13.15950051,10.85992656,4.843586541,7.874882267,10.36919645
Heavily indebted poor countries (HIPC),HPC,interest rate,FR.INR.RINR,,,,,,,,,,
Croatia,HRV,interest rate,FR.INR.RINR,,,,,,,,,,
Haiti,HTI,interest rate,FR.INR.RINR,7.335487261,-2.135389703,-0.905881386,6.163884496,-4.740152627,-3.413247764,-5.022840662,-12.84043499,-13.15302126,
Hungary,HUN,interest rate,FR.INR.RINR,0.088835498,0.756515735,-2.456954856,-3.218469169,-2.826176377,-4.199066716,-3.016391954,-2.906484862,0.170265781,1.445061571
IBRD only,IBD,interest rate,FR.INR.RINR,,,,,,,,,,
IDA & IBRD total,IBT,interest rate,FR.INR.RINR,,,,,,,,,,
IDA total,IDA,interest rate,FR.INR.RINR,,,,,,,,,,
IDA blend,IDB,interest rate,FR.INR.RINR,,,,,,,,,,
Indonesia,IDN,interest rate,FR.INR.RINR,8.349910635,9.224432344,6.501563996,6.471249839,8.62940479,9.98592672,2.75322395,-0.957376341,7.285063594,7.834180102
IDA only,IDX,interest rate,FR.INR.RINR,,,,,,,,,,
Isle of Man,IMN,interest rate,FR.INR.RINR,,,,,,,,,,
India,IND,interest rate,FR.INR.RINR,7.556488414,6.232711415,5.327608862,5.36166639,6.894875427,4.135999578,0.316945144,2.521315449,,
Not classified,INX,interest rate,FR.INR.RINR,,,,,,,,,,
Ireland,IRL,interest rate,FR.INR.RINR,,,,,,,,,,
"Iran, Islamic Rep.",IRN,interest rate,FR.INR.RINR,13.98544676,3.449768758,,,,,,,,
Iraq,IRQ,interest rate,FR.INR.RINR,57.62593122,26.39970828,,,,,,,,
Iceland,ISL,interest rate,FR.INR.RINR,0.804081377,5.39231412,5.594051449,3.734435646,2.015714968,1.358613417,-0.701328168,-1.13427266,5.927804797,6.072121871
Israel,ISR,interest rate,FR.INR.RINR,1.072989519,3.060826356,3.490529791,2.77336226,1.586749365,2.22737102,0.78557216,-1.884139196,,
Italy,ITA,interest rate,FR.INR.RINR,3.320481574,2.220281892,2.274864139,1.592370856,1.539375726,0.739269291,0.733185662,-1.151128546,-1.228641223,3.234292872
Jamaica,JAM,interest rate,FR.INR.RINR,3.99915822,12.41425954,8.464446752,8.755723587,10.09525626,9.188625469,4.579786827,-1.111247534,0.285773474,6.80326323
Jordan,JOR,interest rate,FR.INR.RINR,6.172976266,6.662253029,6.49396019,6.246631014,7.755163184,8.247864681,4.708472871,4.631106983,6.998599995,6.459158074
Japan,JPN,interest rate,FR.INR.RINR,-0.94844123,0.62219276,1.069144407,,,,,,,
Kazakhstan,KAZ,interest rate,FR.INR.RINR,,,,,,,,,,
Kenya,KEN,interest rate,FR.INR.RINR,6.268805783,10.11812871,5.656747616,8.487960475,7.831100748,6.714634409,7.427581005,5.02892163,7.75281849,
Kyrgyz Republic,KGZ,interest rate,FR.INR.RINR,19.53336065,17.42687928,12.68917742,15.53033705,8.364750007,11.10267685,0.543018693,-0.829301475,-0.628515584,14.36277133
Cambodia,KHM,interest rate,FR.INR.RINR,,,,,,,,,,
Kiribati,KIR,interest rate,FR.INR.RINR,,,,,,,,,,
St. Kitts and Nevis,KNA,interest rate,FR.INR.RINR,9.467940947,7.933369209,4.14506836,9.020360359,8.555184208,14.27708475,10.70719905,3.470305014,2.164174813,0.445090413
"Korea, Rep.",KOR,interest rate,FR.INR.RINR,0.295335528,1.278671604,1.428997559,3.078475834,4.095609333,1.195502205,-0.287216233,2.440528577,3.087726275,0.634469261
Kuwait,KWT,interest rate,FR.INR.RINR,40.85973636,12.14487371,-9.925023735,-5.815110842,4.926987959,24.65691404,-19.87358015,-11.66397681,14.1330324,5.947606518
Latin America & Caribbean (excluding high income),LAC,interest rate,FR.INR.RINR,,,,,,,,,,
Lao PDR,LAO,interest rate,FR.INR.RINR,,,,,,,,,,
Lebanon,LBN,interest rate,FR.INR.RINR,3.633832079,7.414932183,5.396472991,3.385546529,6.166022462,,,,,
Liberia,LBR,interest rate,FR.INR.RINR,13.53546469,6.185715732,16.29470396,,,,,,,
Libya,LBY,interest rate,FR.INR.RINR,,,,,,,,,,
St. Lucia,LCA,interest rate,FR.INR.RINR,5.442601434,8.534029743,4.718425482,7.860451901,5.212510237,13.25244317,-4.335416356,2.200935844,4.842212501,5.274041885
Latin America & Caribbean,LCN,interest rate,FR.INR.RINR,,,,,,,,,,
Least developed countries: UN classification,LDC,interest rate,FR.INR.RINR,,,,,,,,,,
Low income,LIC,interest rate,FR.INR.RINR,,,,,,,,,,
Liechtenstein,LIE,interest rate,FR.INR.RINR,,,,,,,,,,
Sri Lanka,LKA,interest rate,FR.INR.RINR,3.827736638,4.789413233,5.780781477,6.959910986,7.098875132,,,,,
Lower middle income,LMC,interest rate,FR.INR.RINR,,,,,,,,,,
Low & middle income,LMY,interest rate,FR.INR.RINR,,,,,,,,,,
Lesotho,LSO,interest rate,FR.INR.RINR,0.332986111,11.90309532,9.372696761,-0.330193276,7.490316025,2.278172013,4.930935862,3.273304495,11.49373941,7.346547674
Late-demographic dividend,LTE,interest rate,FR.INR.RINR,,,,,,,,,,
Lithuania,LTU,interest rate,FR.INR.RINR,,,,,,,,,,
Luxembourg,LUX,interest rate,FR.INR.RINR,,,,,,,,,,
Latvia,LVA,interest rate,FR.INR.RINR,,,,,,,,,,
"Macao SAR, China",MAC,interest rate,FR.INR.RINR,0.687771092,4.323276298,3.026005702,1.680175401,2.885405535,5.535623082,6.156808803,4.133222922,1.563847204,5.810276861
St. Martin (French part),MAF,interest rate,FR.INR.RINR,,,,,,,,,,
Morocco,MAR,interest rate,FR.INR.RINR,,,,,,,,,,
Monaco,MCO,interest rate,FR.INR.RINR,,,,,,,,,,
Moldova,MDA,interest rate,FR.INR.RINR,2.30781539,10.35737418,3.868370945,5.461109875,2.75105923,2.467431084,0.95405304,-5.938864336,2.795178699,2.196824166
Madagascar,MDG,interest rate,FR.INR.RINR,47.14666449,46.84276932,52.43678815,43.48334497,39.87708944,42.71405656,39.53504688,35.76455904,42.91454875,
Maldives,MDV,interest rate,FR.INR.RINR,3.416880679,10.31858886,7.8620173,7.061841328,12.6074475,15.4867338,8.496462962,7.267646779,9.34345767,8.228505941
"Middle East, North Africa, Afghanistan & Pakistan",MEA,interest rate,FR.INR.RINR,,,,,,,,,,
Mexico,MEX,interest rate,FR.INR.RINR,0.207059193,-1.247597333,0.717765162,2.695226936,3.939987956,1.645842084,0.386354457,1.417985096,6.629294895,6.022835471
Marshall Islands,MHL,interest rate,FR.INR.RINR,,,,,,,,,,
Middle income,MIC,interest rate,FR.INR.RINR,,,,,,,,,,
North Macedonia,MKD,interest rate,FR.INR.RINR,5.34575818,3.433369965,3.695885564,2.098377491,4.700387849,3.767168601,0.548918285,-3.894990801,-2.263167437,2.101740359
Mali,MLI,interest rate,FR.INR.RINR,2.271591674,3.636750946,3.409051288,,,,,,,
Malta,MLT,interest rate,FR.INR.RINR,,,,,,,,,,
Myanmar,MMR,interest rate,FR.INR.RINR,11.39204875,11.95216992,9.564810611,10.11846839,10.03298494,9.007834728,,,,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,interest rate,FR.INR.RINR,,,,,,,,,,
Montenegro,MNE,interest rate,FR.INR.RINR,6.498550121,2.560148784,2.426373106,3.122067298,4.108971432,6.396671685,0.655082566,-5.737123972,-4.778131488,1.688007489
Mongolia,MNG,interest rate,FR.INR.RINR,18.838079,16.26167578,8.30906022,9.034455714,6.387440867,12.75125152,1.386729673,,,
Northern Mariana Islands,MNP,interest rate,FR.INR.RINR,,,,,,,,,,
Mozambique,MOZ,interest rate,FR.INR.RINR,7.291755358,8.037660794,18.40940396,18.48662536,13.64253842,13.47592816,13.0234604,10.06097731,17.70828227,14.3334591
Mauritania,MRT,interest rate,FR.INR.RINR,22.8912964,5.206243594,15.17568811,,,,,,,
Mauritius,MUS,interest rate,FR.INR.RINR,6.902881927,5.964354019,6.711708068,6.535689852,9.020400057,4.599129145,3.790386872,-0.940521205,3.171044483,5.438702437
Malawi,MWI,interest rate,FR.INR.RINR,20.50879646,19.80120472,25.33620127,24.62277449,16.6583028,16.9443492,14.54262587,6.985625749,3.498647992,9.921167258
Malaysia,MYS,interest rate,FR.INR.RINR,3.307037704,2.825945183,0.79892604,4.277048074,4.801617186,4.801491997,-2.111958612,-2.24680713,7.301359695,4.457303722
North America,NAC,interest rate,FR.INR.RINR,,,,,,,,,,
Namibia,NAM,interest rate,FR.INR.RINR,5.25645279,1.737319303,0.09799587,5.471387276,8.867377566,3.0938071,5.245250522,2.063386456,4.059948022,7.46387319
New Caledonia,NCL,interest rate,FR.INR.RINR,,,,,,,,,,
Niger,NER,interest rate,FR.INR.RINR,2.840837677,3.440598192,4.754214605,,,,,,,
Nigeria,NGA,interest rate,FR.INR.RINR,13.59615325,6.686233623,5.790566865,6.055977158,-25.77652994,2.14785085,-1.024335354,3.968558739,2.876645785,
Nicaragua,NIC,interest rate,FR.INR.RINR,4.149021446,6.548020902,6.393113039,8.024222326,6.700362866,4.600878278,5.890420788,0.777981191,-1.173669151,3.660697349
Netherlands,NLD,interest rate,FR.INR.RINR,,,,,,,,,,
Norway,NOR,interest rate,FR.INR.RINR,6.486376472,4.74390945,-1.032961396,-3.575966541,3.805139127,5.34941943,-14.92287679,-19.60292949,18.42616706,6.391481204
Nepal,NPL,interest rate,FR.INR.RINR,,,,,,,,,,
Nauru,NRU,interest rate,FR.INR.RINR,,,,,,,,,,
New Zealand,NZL,interest rate,FR.INR.RINR,4.236510397,2.53890263,1.105419463,,,,,,,
OECD members,OED,interest rate,FR.INR.RINR,,,,,,,,,,
Oman,OMN,interest rate,FR.INR.RINR,29.71419215,15.45980935,-1.999367849,-5.804866112,8.300898405,18.21419899,-5.923980703,,,
Other small states,OSS,interest rate,FR.INR.RINR,,,,,,,,,,
