Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
High income,HIC,GDP growth (annual %),GDP,2.344258042,1.846091403,2.49707967,2.382619923,1.894575129,-3.890948417,5.853606932,3.045321504,1.82733766,1.950007937
"Hong Kong SAR, China",HKG,GDP growth (annual %),GDP,2.387779427,2.175428865,3.796111146,2.846951465,-1.672445993,-6.544804127,6.454444091,-3.683784145,3.223859961,2.504987585
Honduras,HND,GDP growth (annual %),GDP,3.840079971,3.892972197,4.842913911,3.84499477,2.559634346,-8.965082233,12.56528438,4.14356194,3.575847605,3.553970033
Heavily indebted poor countries (HIPC),HPC,GDP growth (annual %),GDP,4.906846292,4.32522803,5.046010232,4.193812221,4.204827981,-0.018713375,4.394315609,4.873874978,3.462669528,5.144706757
Croatia,HRV,GDP growth (annual %),GDP,2.319986927,3.466461143,3.283963216,2.911075934,3.101526839,-8.310864015,12.63221904,7.294453436,3.761645407,3.826887029
Haiti,HTI,GDP growth (annual %),GDP,1.400000009,1.812468078,2.510271345,1.667810955,-1.723096998,-3.30550547,-1.798239889,-1.681983969,-1.863884203,-4.169633958
Hungary,HUN,GDP growth (annual %),GDP,3.659816154,2.438641413,4.124183895,5.606138138,5.077184951,-4.3387254,7.222915808,4.152380578,-0.817107371,0.560117843
IBRD only,IBD,GDP growth (annual %),GDP,4.317245208,4.442363982,5.162445444,4.860601855,3.990804016,-1.282042299,7.625766742,3.770014258,4.817605834,4.351764243
IDA & IBRD total,IBT,GDP growth (annual %),GDP,4.248557883,4.347740113,5.072693083,4.823058901,3.986063778,-1.321678563,7.352784472,3.826133078,4.68849829,4.348466255
IDA total,IDA,GDP growth (annual %),GDP,3.433061989,3.214707,3.985209048,4.363019993,3.927701536,-1.809980165,3.971679187,4.545638357,3.045477598,4.305774322
IDA blend,IDB,GDP growth (annual %),GDP,3.835201908,2.268710585,2.778739303,3.863334438,3.022957774,-3.293960316,4.294117249,4.798198284,2.825620134,4.055819918
Indonesia,IDN,GDP growth (annual %),GDP,4.8763223,5.033069183,5.069785901,5.17429154,5.01928768,-2.065511829,3.702885628,5.307197227,5.049023318,5.030344694
IDA only,IDX,GDP growth (annual %),GDP,3.017686182,4.199593815,5.218001659,4.861770808,4.822154476,-0.368060972,3.667580777,4.30600397,3.25506753,4.543064608
Isle of Man,IMN,GDP growth (annual %),GDP,-0.385866882,6.952302849,2.837758071,2.213397539,0.254877847,-8.836816975,3.837836323,-4.165393452,,
India,IND,GDP growth (annual %),GDP,7.996253786,8.256305502,6.795383419,6.453851345,3.871436941,-5.777724707,9.689592492,7.609364978,9.19075493,6.494765524
Not classified,INX,GDP growth (annual %),GDP,,,,,,,,,,
Ireland,IRL,GDP growth (annual %),GDP,24.62398564,1.222716611,10.10885761,7.688659374,4.972880038,7.153695057,16.25818812,7.511138884,-2.536374093,2.599467216
"Iran, Islamic Rep.",IRN,GDP growth (annual %),GDP,-1.424884939,8.815086643,3.026854687,-3.747960157,-2.361435388,4.441808654,4.13089685,4.352810875,5.332351172,3.663120568
Iraq,IRQ,GDP growth (annual %),GDP,2.606766429,13.78737302,-1.819750351,2.633850991,5.513790575,-12.03679309,1.50218071,7.95904805,0.517705525,-1.545251983
Iceland,ISL,GDP growth (annual %),GDP,3.768590238,6.218087642,3.485067039,4.660770326,1.138212305,-6.645878163,5.180571974,8.820693956,5.186157601,-0.970676469
Israel,ISR,GDP growth (annual %),GDP,2.237603175,4.459782719,4.346931167,4.003898622,3.710496328,-2.021615482,9.388374034,6.263263438,1.826520495,0.871968424
Italy,ITA,GDP growth (annual %),GDP,0.885667635,1.236221085,1.603699953,0.826646712,0.429162534,-8.868221222,8.931062108,4.821176699,0.97569484,0.692676948
Jamaica,JAM,GDP growth (annual %),GDP,0.921487124,2.760437614,2.293033713,2.515844586,1.809431473,-8.304419236,5.704679783,6.439303237,2.746344339,-0.535039064
Jordan,JOR,GDP growth (annual %),GDP,2.496528793,1.994180849,2.473598154,1.919070913,1.751240779,-1.102751883,3.65564359,2.647435149,2.884083393,2.488894096
