Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cuba,CUB,inflation,FP.CPI.TOTL.ZG,,,,,,,,,,
Curacao,CUW,inflation,FP.CPI.TOTL.ZG,-0.47654205,-0.047207985,1.585588017,2.583687566,2.622207834,,,,,
Cayman Islands,CYM,inflation,FP.CPI.TOTL.ZG,-2.347527702,-0.625258359,,,,,,,,
Cyprus,CYP,inflation,FP.CPI.TOTL.ZG,-2.096997691,-1.429166667,0.531766496,1.435491195,0.250370997,-0.638422798,2.446088672,8.39548298,3.541341888,1.800230186
Czechia,CZE,inflation,FP.CPI.TOTL.ZG,0.309364548,0.683504209,2.450533985,2.149494949,2.847875959,3.161295285,3.839844915,15.10016515,10.66126014,2.435312024
Germany,DEU,inflation,FP.CPI.TOTL.ZG,0.514426137,0.491747008,1.509494851,1.732168798,1.445659769,0.144877926,3.066666667,6.872574386,5.946436677,2.256498143
Djibouti,DJI,inflation,FP.CPI.TOTL.ZG,-0.847389734,2.738412087,0.568112117,0.14797085,3.319253727,1.777407838,1.181917753,5.17980848,1.495068165,2.07655388
Dominica,DMA,inflation,FP.CPI.TOTL.ZG,-0.843826985,0.141816226,0.296252889,0.989191119,1.504623539,1.220264422,2.228913307,2.884902268,5.086774832,2.569218904
Denmark,DNK,inflation,FP.CPI.TOTL.ZG,0.452034154,0.25,1.14713217,0.813609467,0.758131573,0.420711974,1.85304544,7.696566999,3.305178112,1.372200498
Dominican Republic,DOM,inflation,FP.CPI.TOTL.ZG,0.836746347,1.614166072,3.279556947,3.56443426,1.81060377,3.781031799,8.24300348,8.811092093,4.78561281,3.30223339
Algeria,DZA,inflation,FP.CPI.TOTL.ZG,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211,2.415130941,7.226063074,9.265515516,9.322173759,4.046114553
East Asia & Pacific (excluding high income),EAP,inflation,FP.CPI.TOTL.ZG,1.223931955,1.917310902,2.912635574,3.198347559,1.942575008,2.406292144,2.698918595,5.377349082,5.978025155,2.318481729
Early-demographic dividend,EAR,inflation,FP.CPI.TOTL.ZG,3.129002745,3.523173176,3.328173375,3.975610157,2.762520194,2.963549921,4.126767444,7.198616156,5.88585897,3.295896625
East Asia & Pacific,EAS,inflation,FP.CPI.TOTL.ZG,0.795279631,1.276990945,1.800342225,2.368549058,1.703978632,0.846905537,2.477102415,5.345954409,5.215369277,2.355627261
Europe & Central Asia (excluding high income),ECA,inflation,FP.CPI.TOTL.ZG,4.027685737,2.134927139,4.603573558,2.565728801,2.643281927,2.746150782,6.917567711,13.88758417,9.073651498,3.48974086
Europe & Central Asia,ECS,inflation,FP.CPI.TOTL.ZG,0.368046842,0.388838297,1.915588465,2.013219723,1.763735865,1.199983969,3.19017771,11.11361219,7.120422121,2.757609094
Ecuador,ECU,inflation,FP.CPI.TOTL.ZG,3.966646233,1.728264633,0.417335589,-0.224103246,0.266012515,-0.338872393,0.133251386,3.466169722,2.215687642,1.547325156
